Weight,Minimum BCS,Maximum BCS,Breed,Breed Grade,Horn,Udder,Skin Coat,Cleft,Teat,Worm Load,Wound,Rumination,Animal Alertness,BCS,Buying Recommendation,Breeding Capacity,Interpretations(English),Interpretations(Hindi),Interpretations(Kannada),Recommendation(English),Recommendation(Hindi),Recommendation(Kannada)
None,None,None,None,None,None,None,Skin-Coat-Rough,None,None,None,None,None,None,None,NO,Poor,"Rough skin coat may result from a high deficiency in essential multi minerals and vitamins (e.g., Copper, Zinc, Selenium, Vitamin A etc..) & May be due to worm infestation.","त्वचा की खुरदुरी परत  तब हो सकती है जब शरीर में ज़रूरी मिनरल्स और विटामिन (जैसे, कॉपर, जिंक, सेलेनियम, विटामिन ए आदि) की बहुत कमी हो जाए। इसके अलावा, यह कीड़े  के संक्रमण से भी हो सकती है।","ಮಲ್ಟಿ ಮಿನರಲ್ಸ್(ಖನಿಜಗಳಾದ Copper, zinc, Selenium etc.. ) & ವಿಟಮಿನ್ ಗಳ ಕೊರತೆಯಿಂದಾಗಿ  ನಿಮ್ಮ ಹಸುವಿನ ಚರ್ಮದ ಮೇಲ್ಮೈ ಮತ್ತು ಕೂದಲುಗಳು ತುಂಬಾ ಒರಟಾಗಿರುವುದು ಕಂಡುಬಂದಿರುತ್ತದೆ.","Feed Dairy Fortune 300 Grams Daily in a Concentrate feed/TMR ration, a unique and Complete feed suppliment solution for Dairy Cow.","डेयरी फॉर्च्यून को गाय के खाने (कंसंट्रेट फ़ीड या टीएमआर राशन) में रोज़ 300 ग्राम मिलाकर खिलाएं। यह गायों के लिए एक खास और पूरा पोषण देने वाला आहार है, जो उनके सेहत के लिए फायदेमंद है।","ಡೈರಿ ಫಾರ್ಚ್ಯೂನ್ (Dairy Fortune) 300 ಗ್ರಾಂ ಪುಡಿಯನ್ನು ಪಶುಆಹಾರ / TMR ಫೀಡ್ ನಲ್ಲಿ ಪ್ರತಿದಿನ ಹಸುವಿಗೆ ನೀಡುವುದರಿಂದ, ಹಸುವಿನ ಚರ್ಮದ ನುಣುಪು ಹೆಚ್ಚುವುದರ ಜೊತೆಗೆ ಹೆಚ್ಚಿನ ಹಾಲಿನ ಇಳುವರಿ & ಹಸುವಿನ ಉತ್ತಮ ಆರೋಗ್ಯಕ್ಕೆ ಸಹಕಾರಿಯಾಗಿದೆ."
None,None,None,None,None,None,None,Skin-Coat-Moderately-Rough,None,None,None,None,None,None,None,Physical Check required,Fair,May be due to moderate deficiency in Multi Minerals and high deficiency in micro minerals and multi vitamins.,"यह समस्या तब हो सकती है जब मल्टी मिनरल्स की कमी थोड़ी हो, लेकिन माइक्रो मिनरल्स और मल्टी विटामिन्स की कमी ज्यादा हो।","ಅಲ್ಪ ಪ್ರಮಾಣದ ಮಲ್ಟಿ ಮಿನರಲ್ಸ್(ಖನಿಜಗಳಾದ Copper, zinc, Selenium etc..  ) & ವಿಟಮಿನ್ ಗಳ ಕೊರತೆಯಿಂದಾಗಿ  ನಿಮ್ಮ ಹಸುವಿನ ಚರ್ಮದ ಮೇಲ್ಮೈ ಒರಟಾಗಿರುವುದು ಕಂಡುಬಂದಿರುತ್ತದೆ.","Feed Dairy Fortune 300 Grams Daily in a Concentrate feed/TMR ration, a unique and healthy Dairy Cow feeding solution OR Feed 70-100g of multi-mineral and vitamin mix daily as per veterinarians advice.","डेयरी फॉर्च्यून को गाय के खाने (कंसंट्रेट फ़ीड या टीएमआर राशन) में रोज़ 300 ग्राम मिलाकर खिलाएं। यह गायों के लिए एक खास और पूरा पोषण देने वाला आहार है । या पशुचिकित्सकों की सलाह के अनुसार, रोज़ 70-100 ग्राम मल्टी-मिनरल और विटामिन का मिश्रण खिलाएं।","ಡೈರಿ ಫಾರ್ಚ್ಯೂನ್ (Dairy Fortune) 300 ಗ್ರಾಂ ಪುಡಿಯನ್ನು ಪಶುಆಹಾರ / TMR ಫೀಡ್ ನಲ್ಲಿ ಪ್ರತಿದಿನ ಹಸುವಿಗೆ ನೀಡುವುದರಿಂದ, ಹಸುವಿನ ಚರ್ಮದ ನುಣುಪು ಹೆಚ್ಚುವುದರ ಜೊತೆಗೆ ಹೆಚ್ಚಿನ ಹಾಲಿನ ಇಳುವರಿ & ಹಸುವಿನ ಉತ್ತಮ ಆರೋಗ್ಯಕ್ಕೆ ಸಹಕಾರಿಯಾಗಿದೆ. ಅಥವಾ ಪಶುವೈದ್ಯರ ಸಲಹೆ ಮೇರೆಗೆ ಮಿನರಲ್ ಮಿಶ್ರಣವನ್ನು 70 -100 ಗ್ರಾಂ ಪ್ರತಿದಿನ ನೀಡಬಹುದು."
None,None,None,None,None,None,None,Skin-Coat-Shiny,None,None,None,None,None,None,None,YES,Good,Your animal is regularly receiving multi minerals and vitamins from feed and grazing,आपका जानवर नियमित रूप से चारे और चराई से कई तरह के मिनरल और विटामिन प्राप्त कर रहा है।,ನೀವು ಪೂರೈಸುತ್ತಿರುವ ಮೇವು & ಪಶುಆಹಾರದಲ್ಲಿ ಹಸುವಿಗೆ ಬೇಕಾದ ಮಲ್ಟಿ ಮಿನರಲ್ಸ್ & ವಿಟಮಿನ್ ಗಳು ದೊರಕುತ್ತಿವೆ ಮತ್ತು ನಿಮ್ಮ ಹಸುವಿಗೆ ಸರಿಯಾದ ಸಮಯಕ್ಕೆ ಜಂತು ನಾಶಕ ಔಷಧಿಯನ್ನು ನೀಡುತ್ತಿದ್ದೀರಿ. ಈ ಕ್ರಮಗಳನ್ನು ಮುಂದುವರಿಸಿ.   ,"Continue current feeding/grazing practices to ensure adequate minerals and vitamins OR For better health and milk production, Feed Dairy Fortune 300 Grams Daily in concentrate feed /TMR, a unique Dairy Cow feeding solution","जरूरी मिनरल और विटामिन मिलने के लिए अभी जो आहार या चराई की जा रही है, उसे जारी रखें। या फिर, बेहतर सेहत और दूध देने के लिए रोज़ाना 300 ग्राम डेयरी फॉर्च्यून को कॉन्सेंट्रेट फ़ीड या टीएमआर में मिलाकर खिलाएं। यह गायों के लिए एक खास और पूरा पोषण देने वाला आहार  है। ","ಪ್ರಸ್ತುತ ಕ್ರಮಗಳನ್ನು ಪಾಲಿಸುವುದರ ಜೊತೆಗೆ  ಡೈರಿ ಫಾರ್ಚ್ಯೂನ್ (Dairy Fortune) 300 ಗ್ರಾಂ ಪುಡಿಯನ್ನು ಪಶುಆಹಾರ / TMR ಫೀಡ್ ನಲ್ಲಿ ಪ್ರತಿದಿನ ಹಸುವಿಗೆ ನೀಡುವುದರಿಂದ, ಹಸುವಿನ ಚರ್ಮದ ನುಣುಪು ಹೆಚ್ಚುವುದರ ಜೊತೆಗೆ ಹೆಚ್ಚಿನ ಹಾಲಿನ ಇಳುವರಿ & ಹಸುವಿನ ಉತ್ತಮ ಆರೋಗ್ಯಕ್ಕೆ ಸಹಕಾರಿಯಾಗಿದೆ."
None,None,None,None,None,Horn-Present,None,None,None,None,None,None,None,None,None,N/A,N/A,This animal may Hurt other Cows by fighing or Because of Bad Vices Cow may bump into other people/Farmer.,"यह जानवर लड़ाई करके दूसरी गायों को नुकसान पहुंचा सकता है, या फिर दूसरों  से  टकरा  कर यह अन्य लोगों या किसानों को भी नुकसान पहुंचा सकता है।",ಕೊಂಬು ಇರುವ ಹಸುವು ಬೇರೆ  ಹಸುಗಳೊಂದಿಗೆ  ಜಗಳವಾಡಬಹುದು / ಕೊಂಬಿನಿಂದ ತಿವಿದು ಬೇರೆ ಹಸುಗಳಿಗೆ/ ರೈತರಿಗೆ ಗಂಭೀರ ಗಾಯಗಳನ್ನು ಉಂಟು ಮಾಡಿ ನೋಯಿಸಬಹುದು.,"Follow disbudding protocols for her calf by electric disbudder or chemical solution, with Locally avilable Veterinary Doctor or Silo Fortune Veterinary Doctor.","स्थानीय रूप से उपलब्ध जानवरों के डॉक्टर या साइलो फॉर्च्यून जानवरों के डॉक्टर के साथ मिलकर, उसके बछड़े के लिए इलेक्ट्रिक डिस्बडर या केमिकल के जरिए सींग हटाने के नियमों का पालन करें।",ಹಸುವಿನ  ಕರುಗಳಿಗೆ ಕೊಂಬು ಬೇಡವೆಂದರೆ ಹುಟ್ಟಿದ ಒಂದು ತಿಂಗಳೊಳಗೆ ಕೊಂಬಿನ ಬುಡವನ್ನು ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರ / ಸೈಲೋ ಫಾರ್ಚ್ಯೂನ್ ಪಶುವೈದ್ಯರ  ಸಹಾಯದಿಂದ Electric Disbudding or Chemical Disbudding  ಮುಖಾಂತರ ಸುಡಿಸಬಹುದು.
None,None,None,None,None,Horn-Polled,None,None,None,None,None,None,None,None,None,N/A,N/A,Cow will be friendly with Other Cows & Farmers,गाय दूसरी गायों और किसानों के साथ दोस्ताना व्यवहार करेगी।,ಬೋಡಿ ಹಸುಗಳು ಇತರೆ ಹಸುಗಳೊಂದಿಗೆ ಮತ್ತು ರೈತರ ಜೊತೆಗೆ ಸಾಧುವಂತೆ ವರ್ತಿಸುತ್ತದೆ,"Good,You're following disbudding protocols. Choose electric disbudding or chemical disbudding with the help of a local veterinary doctor or a Silo Fortune veterinary doctor",अच्छा है कि आप सींग हटाने के नियमों का पालन कर रहे हैं। स्थानीय पशु चिकित्सक या साइलो फॉर्च्यून पशु चिकित्सक की मदद से इलेक्ट्रिक डिस्बडिंग या केमिकल डिस्बडिंग में से एक चुनें।,ನಿಮ್ಮ ಹಸುವಿನ ಕೊಂಬನ್ನು ಸುಡಿಸುವ ಕ್ರಮವನ್ನು ಪಾಲಿಸುತ್ತಿದ್ದೀರಿ. ಕರುಗಳಿಗೆ ಕೊಂಬು ಬೇಡವೆಂದರೆ ಹುಟ್ಟಿದ ಒಂದು ತಿಂಗಳೊಳಗೆ ಕೊಂಬಿನ ಬುಡವನ್ನು ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರ / ಸೈಲೋ ಫಾರ್ಚ್ಯೂನ್ ಪಶುವೈದ್ಯರ  ಸಹಾಯದಿಂದ Electric Disbudding or Chemical Disbudding  ಮುಖಾಂತರ ಸುಡಿಸಬಹುದು.
None,None,None,None,None,None,None,None,None,None,Worm-Load-Pot-Belly-Present,None,None,None,None,NO,Poor,"Indicates possible infestation of animal by roundworms, tapeworms, or flatworms through grazing or contaminated fodder.","चराई या खराब चारे से राउंडवॉर्म, टेपवर्म या फ्लैटवर्म के कारण जानवर में  बीमारी होने की संभावना होती है।",ಮೇವು ಅಥವಾ ಕಲುಷಿತ ನೀರಿನ ಮುಖಾಂತರ ನಿಮ್ಮ ಹಸುವಿನಲ್ಲಿ ಜಂತುಗಳಾದ ದುಂಡು ಹುಳು/ ಚಪ್ಪಟೆ ಹುಳುಗಳ ಬಾದೆ ಇರಬಹುದೆಂದು ಕಂಡುಬಂದಿರುತ್ತದೆ.,Your animal may need immediate Deworming Medicine. Contact a local Veterinary Doctor or Silo Fortune Veterinary Doctor for selecting  better deworming medicine.,आपके जानवर को तुरंत कीड़े मारने वाली दवा की जरूरत हो सकती है। बेहतर दवा चुनने के लिए स्थानीय पशु चिकित्सक या साइलो फॉर्च्यून पशु चिकित्सक से सलाह लें।,ನಿಮ್ಮ ಹಸುವಿಗೆ  ತಕ್ಷಣದ ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧಿ (Deworming Medicine) ಬೇಕಾಗಬಹುದು. ಉತ್ತಮ  ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧವನ್ನು ಆಯ್ಕೆ ಮಾಡಲು ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರು ಅಥವಾ ಸೈಲೋ  ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.
None,None,None,None,None,None,None,None,None,None,Worm-Load-Moderate,None,None,None,None,Physical Check required,Fair,"Indicates possible infestation of animal by Round worm/Tape worm/Flat worm during grazing or by Vector contaminated fodder. You may be doing irregular Deworming, incorrect Deworming medication, or underdosing Deworming medicine.","चराई के दौरान राउंडवर्म, टेपवर्म, फ्लैटवर्म या वेक्टर दूषित चारे से जानवर के बीमार  होने की संभावना है। हो सकता है कि आप अनियमित रूप से कीड़े मारने की दवा दे रहे हों, गलत दवा का इस्तेमाल कर रहे हों, या दवा की खुराक कम दे रहे हों।", ಮೇವು ಅಥವಾ ಕಲುಷಿತ ನೀರಿನ ಮುಖಾಂತರ ನಿಮ್ಮ ಹಸುವಿನಲ್ಲಿ ಜಂತುಗಳಾದ ದುಂಡು ಹುಳು/ ಚಪ್ಪಟೆ ಹುಳುಗಳ ಬಾದೆ ಇರಬಹುದೆಂದು ಕಂಡುಬಂದಿರುತ್ತದೆ. ಅಥವಾ ನೀವು ಕೊಡುತ್ತಿರುವ ಜಂತುನಾಶಕ ಔಷಧಿ/ ಔಷಧಿಯ ಪ್ರಮಾಣದಲ್ಲಿ ವ್ಯತ್ಯಯ ಇರಬಹುದು. ,Your animal may need the Right deworming medicine in required dose. Contact a local Veterinary Doctor or Silo Fortune Veterinary Doctor for the Selecting better Deworming Medicine.,आपके जानवर को जरूरी मात्रा में उचित कीड़े मारने वाली दवा की जरूरत हो सकती है। बेहतर दवा चुनने के लिए स्थानीय पशु चिकित्सक या साइलो फॉर्च्यून पशु चिकित्सक से सलाह लें।,ನಿಮ್ಮ ಹಸುವಿಗೆ  ಅಗತ್ಯವಿರುವ ಪ್ರಮಾಣದಲ್ಲಿ ಸರಿಯಾದ ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧಿ (Deworming Medicine) ಬೇಕಾಗಬಹುದು. ಉತ್ತಮ ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧವನ್ನು ಆಯ್ಕೆ ಮಾಡಲು ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರನ್ನು ಅಥವಾ ಸೈಲೋ ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.
None,None,None,None,None,None,None,None,None,None,Worm-Load-No,None,None,None,None,YES,Good,Indicates that You are following Deworming Protocols regularly & Animal Grazing area or Fodder less prone to Worm generating Vectors.,यह बताता है कि आप रोजाना तौर  से कीड़े मारने के तरीके का पालन कर रहे हैं और पशु चरागाह या चारे में कीड़े पैदा करने वाले कीड़ों की संभावना कम है।,ನೀವು ಕಾಲಕಾಲಕ್ಕೆ  ಜಂತುನಾಶಕ ಔಷಧಿ ನೀಡುವ ಕ್ರಮಗಳನ್ನು ಪಾಲಿಸುತ್ತಿರುವಿರಿ  ಮತ್ತು ಪ್ರಾಣಿಗಳನ್ನ ಮೇಯಿಸುವ ಪ್ರದೇಶ ಅಥವಾ ಮೇವು ಉತ್ಪಾದಿಸುವ ತೋಟ ಜಂತು ಹುಳುಗಳಿಂದ ಮುಕ್ತವಾಗಿರಬಹುದು. ,"Follow the same deworming protocols. For Better Deworming Medicine or for periodic Dewormer rotation , contact a local vet or Silo Fortune vet.","रोजाना तरीके से कीड़े मारने वाले नियमों का पालन पालन करें। अच्छी कीड़े मारने वाली दवा या समय-समय पर दवा बदलने के लिए,  स्थानीय पशु चिकित्सक या साइलो फॉर्च्यून पशु चिकित्सक से सलाह लें। ",ಈಗ ಪಾಲಿಸುತ್ತಿರುವ ಜಂತುನಾಶಕ ಔಷಧಿ (Deworming Medicine) ಕ್ರಮಗಳನ್ನು ಮುಂದುವರಿಸಿ (ಪ್ರತಿ 3 ರಿಂದ 4 ತಿಂಗಳಿಗೊಮ್ಮೆ) ಅಥವಾ ನಿಮ್ಮ ಹಸುವಿಗೆ  ಅಗತ್ಯವಿರುವ ಪ್ರಮಾಣದಲ್ಲಿ ಸರಿಯಾದ ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧಿ ಬೇಕಾಗಬಹುದು. ಉತ್ತಮ ಜಂತುಹುಳು ನಿವಾರಕ ಔಷಧವನ್ನು ಆಯ್ಕೆ ಮಾಡಲು ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರನ್ನು ಅಥವಾ ಸೈಲೋ ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.
None,None,None,None,None,None,Udder-Small-Tight,None,None,None,None,None,None,None,None,Physical Check required,N/A,This indicates that Animal may in Heifer Stage or Dry Cow stage. In Draught breed its common type.,इससे पता चलता है कि जानवर बछिया अवस्था या सूखी गाय की अवस्था में हो सकता है। ड्राफ्ट नस्ल में यह सामान्य होता है।,ಪ್ರಾಣಿಯು ಪಡ್ಡೆ/ಮೊಣಕ ದ ಹಂತ ಅಥವಾ ಒಣ ಹಸು(Dry Cow) ಹಂತದಲ್ಲಿರುವಾಗ ಕೆಚ್ಚಲು ಈ ರೀತಿ  ಸಣ್ಣದಾಗಿರುತ್ತದೆ. ಉಳುಮೆಗೆ ಬಳಸುವ ದೇಶಿಯ ಹಸುಗಳಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಈ ವಿಧದ ಕೆಚ್ಚಲು ಕಂಡುಬರುತ್ತದೆ.,"If the animal is Heifer, Feed her as per Diet recommendations for better udder growth.","यदि जानवर बछिया है, तो  थन के बेहतर विकास के लिए उसे आहार के अनुसार खाना दें।",ಈ ಪ್ರಾಣಿಯು ಪಡ್ಡೆ/ಮೊಣಕ ದ ಹಂತದಲ್ಲಿದ್ದರೆ ಉತ್ತಮ ಕೆಚ್ಚಲಿನ ಬೆಳವಣಿಗೆಗಾಗೇ ಕೆಳಗೆ ಸೂಚಿಸಿದ ಉತ್ತಮ ಆಹಾರ ಕ್ರಮಗಳನ್ನು ಪಾಲಿಸಬೇಕು. 
None,None,None,None,None,None,Udder-Compact,None,None,None,None,None,None,None,None,YES,N/A,Udder attached in a compact manner to the Ventral region above the Hock joint indicates Good Type of Udder & Less prone for Mastitis and Injury,हॉक जोड़ के ऊपर वेंट्रल क्षेत्र से मजबूती से जुड़ा हुआ थन अच्छा होता है और इससे मास्टिटिस और चोट लगने की संभावना कम होती है।,"ಈ ವಿಧದಲ್ಲಿ ಕೆಚ್ಚಲು ಕೆಳಹೊಟ್ಟೆಗೆ ಅಡಕವಾಗಿ ಅಂಟಿಕೊಂಡಿರುತ್ತದೆ, ಕೆಚ್ಚಲು ಬಾವು ಬಾದೆ ಈ ತರಹದ ಕೆಚ್ಚಲಿನಲ್ಲಿ ಕಡಿಮೆ ಇರುತ್ತದೆ ಹಾಗಾಗಿ ಉತ್ತಮ ಕೆಚ್ಚಲಿನ ವಿಧಕ್ಕೆ ಉದಾಹರಣೆಯಾಗಿದೆ. ",Good type of udder.To prevent Mastitis Use Teat Dips after Morning & Evening Milking.  Sol. V-Dip 500ml-1 .Regulary Check Subclinical Mastitis by CMT test. Sol. V-CMT 500ml-1,"पशु के अच्छे प्रकार के थन हैं। मास्टिटिस को रोकने के लिए, सुबह और शाम दूध देने के बाद टीट डिप्स का उपयोग करें। इसके लिए सोल. वी-डिप 500 मिली-1 का इस्तेमाल करें । सबक्लिनिकल मास्टिटिस की नियमित जांच करने के लिए सीएमटी परीक्षण कराएं , जिसके लिए सोल. वी-सीएमटी 500 मिली-1 का उपयोग करें।","ಅಡಕ ಕೆಚ್ಚಲು ಉತ್ತಮ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ವಿಧ. ಕೆಚ್ಚಲು ಬಾವು ಸಮಸ್ಯೆ ತಡೆಗಟ್ಟಲು ಬೆಳಿಗ್ಗೆ ಮತ್ತು ಸಂಜೆ ಹಾಲು ಕರೆದ  ನಂತರ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳಿಗೆ  Teat  Dip ದ್ರಾವಣವನ್ನು ಬಳಸಿ.  Sol. V-Dip 500ml-1.ಹಾಲಿನ CMT ಪರೀಕ್ಷೆಯ ಮೂಲಕ ಕೆಚ್ಚಲಿನಲ್ಲಿರುವ ಅಗೋಚರ/ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು ವನ್ನು  ತಿಂಗಳಿಗೊಮ್ಮೆ ಪರಿಶೀಲಿಸಿ, ಪಶುವೈದ್ಯರ ಸಲಹೆ ಪಡೆಯಿರಿ.  Sol. V-CMT 500ml-1"
