SYSTEM OF DISORDER,Type,Present,INTERPRETATION(ENGLISH),INTERPRETATION(HINDI),INTERPRETATION(KANNADA),RECOMMENDATION(ENGLISH),RECOMMENDATION(HINDI),RECOMMENDATION(KANNADA)
Digestive System,Diarrhea,Yes,"Digestive system of Animal may be disturbed because of Various reasons like Acidosis, Simple indigestion, Changing in Feed & Fodder sources, etc..,  Watery Dung is noticed.","पशुओं का पाचन तंत्र विभिन्न कारणों से गड़बड़ा सकता है, जैसे एसिडोसिस, साधारण अपच, आहार और चारा स्रोतों में परिवर्तन आदि। पानी जैसा गोबर देखा जाता है।","ಅಜೀರ್ಣ, ರೂಮಿನಲ್ ಅಸಿಡೋಸಿಸ್, ಮೇವು & ಪಶು ಆಹಾರದಲ್ಲಿನ ಬದಲಾವಣೆ ಇತ್ಯಾದಿ... ಕಾರಣಗಳಿಂದಾಗಿ ಪಶುವಿನ ಜೀರ್ಣ ಕ್ರಿಯೆಯಲ್ಲಿ ವ್ಯತ್ಯಾಸವಾಗಿ ತೆಳುವಾದ ಸಗಣಿ ಕಂಡುಬಂದಿರಬಹುದು.","Pow. Nebulon 100g or Pow.Diaroak 30g in 1 Liter of Butter Milk for 3 Days ,Tab. Dirunil-L (1-0-1) for 3 Days , Tab. Hepatocare(1-0-1) for 3 Days OR Take advise from Silo Fortune Veterinary Doctor or Local Veterinary Doctors, if necessary                                                                                                                          ","पाव. नेबुलोन 100 ग्राम या पाव. डायारोक 30 ग्राम 1 लीटर बटर मिल्क में 3 दिनों के लिए, टैब. डिरुनिल-एल (1-0-1) 3 दिनों के लिए, टैब. हेपेटोकेयर (1-0-1) 3 दिनों के लिए या यदि आवश्यक हो तो साइलो फॉर्च्यून पशु चिकित्सक या स्थानीय पशु चिकित्सक से सलाह लें",Pow. Nebulon 100g or Pow.Diaroak 30g ನ್ನು  1 ಲೀಟರ್ ಮಜ್ಜಿಗೆಯಲ್ಲಿ ಮಿಶ್ರಣಮಾಡಿ 3 ದಿನಗಳವರೆಗೂ ನೀಡಬೇಕು.  Tab. Dirunil-L (1-0-1) ನ್ನು 3 ದಿನಗಳವರೆಗೂ ನೀಡಬೇಕು. Tab. Hepatocare(1-0-1)ನ್ನು 3 ದಿನಗಳವರೆಗೂ ನೀಡಬೇಕು.  ಅಥವಾ  ಅಗತ್ಯವಿದ್ದಲ್ಲಿ ಸೈಲೋ - ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರು ಅಥವಾ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರಿಂದ ಸಲಹೆ ಪಡೆಯಿರಿ                                                                                        
Digestive System,Diarrhea,No,"Digestive system of Animal is Looking  good, Follow the Good Feeding practices.","पशु का पाचन तंत्र अच्छा लग रहा है, अच्छे आहार पद्धति का पालन करें।",ಪಶುವಿನ ಜೀರ್ಣ ಕ್ರಿಯೆಯು ಉತ್ತಮವಾಗಿರುವಂತೆ ಕಾಣಿಸುತ್ತಿದೆ. ಉತ್ತಮ ಆಹಾರ ಪದ್ದತಿಗಳನ್ನು ಅನುಸರಿಸುವುದು ಒಳಿತು.,Provide Free Access to Good quality water & Good Quality Feed & Fodder free from Fungus for better digestion.,बेहतर पाचन के लिए फंगस से मुक्त अच्छी गुणवत्ता वाले पानी और अच्छी गुणवत्ता वाले फ़ीड और चारे तक मुफ्त पहुंच प्रदान करें।,"ಉತ್ತಮ ಜೀರ್ಣಕ್ರಿಯೆಗಾಗಿ, ಶಿಲೀಂದ್ರ / ಫಂಗಸ್ ಮುಕ್ತವಾದ ಉತ್ತಮ ಗುಣಮಟ್ಟದ ಮೇವು, ಪಶುಆಹಾರ ಮತ್ತು ಶುದ್ಧ ಕುಡಿಯುವ ನೀರನ್ನುಪೂರೈಸಿ.      "
Udder & Mammary System,Mastitis,Yes,Pendulous Udder/Bell shape udeer & Teat Score(1 &3) are may be more prone for Mastitis/SCM.,लटकते हुए थन/घंटी के आकार वाले थन और टीट स्कोर (1 और 3) मैस्टाइटिस/एससीएम के लिए अधिक प्रवण हो सकते हैं।,ಜೋಲು ಕೆಚ್ಚಲು / ಗಂಟೆ ಆಕಾರದ ಕೆಚ್ಚಲು ಮತ್ತು Teat ಸ್ಕೋರ್ (1  ರಿಂದ 3 )  ಹೊಂದಿರುವ ಹಸುಗಳಿಗೆ  ಕೆಚ್ಚಲು ಬಾವು ಸಂಭವಿಸುವ ಸಾಧ್ಯತೆ ಹೆಚ್ಚಿರುತ್ತದೆ., Monthly Once Do the CMT testing & Take advise from Silo Fortune Veterinary Doctor or Local Veterinary Doctors to cure Positive Cows for better Milk Production.,मासिक रूप से एक बार सीएमटी परीक्षण करवाएं और बेहतर दूध उत्पादन के लिए पॉजिटिव गायों को ठीक करने के लिए साइलो फॉर्च्यून पशु चिकित्सक या स्थानीय पशु चिकित्सक से सलाह लें।,"ಅಗೋಚರ  or ಗುಪ್ತ ಕೆಚ್ಚಲುಬಾವು ವನ್ನು ಪತ್ತೆಹಚ್ಚಲು ತಿಂಗಳಿಗೊಮ್ಮೆ ಹಾಲಿನ CMT ಪರೀಕ್ಷೆ ಮಾಡಿ, POSITIVE  ಸ್ಕೋರ್  ಬಂದ ಹಸುಗಳನ್ನು ಗುಣಪಡಿಸಿ ಹೆಚ್ಚಿನ ಹಾಲಿನ ಇಳುವರಿ ಪಡೆಯಲು  ಸೈಲೋ ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರು ಅಥವಾ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರಿಂದ ಸಲಹೆ ಪಡೆಯಿರಿ."
Udder & Mammary System,Mastitis,No,Regularly screen your Cows milk by CMT test for detection of Subclinical mastitis & Follow Clean Milk Production Protocols to avoid Udder infections.,सबक्लिनिकल मैस्टाइटिस का पता लगाने के लिए नियमित रूप से सीएमटी परीक्षण द्वारा अपनी गायों के दूध की जांच करें और थन संक्रमण से बचने के लिए स्वच्छ दूध उत्पादन प्रोटोकॉल का पालन करें।,ಹಸುಗಳಲ್ಲಿ ಅಗೋಚರ or ಗುಪ್ತ ಕೆಚ್ಚಲುಬಾವು ವನ್ನು ಪತ್ತೆಹಚ್ಚಲು ತಿಂಗಳಿಗೊಮ್ಮೆ ಹಾಲಿನ CMT ಪರೀಕ್ಷೆ ಯನ್ನು ಮಾಡಿ ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳಿ. ಕೆಚ್ಚಲು ಬಾವು ಬಾರದಂತೆ ತಡೆಗಟ್ಟಲು ಶುದ್ಧ ಹಾಲು ಉತ್ಪಾದನಾ ಕ್ರಮಗಳನ್ನು ತಪ್ಪದೆ ಪಾಲಿಸಿ., Monthly Once Do the CMT testing & Take advise from Silo Fortune Veterinary Doctor or Local Veterinary Doctors to cure Positive Cows better Milk Production.,मासिक रूप से एक बार सीएमटी परीक्षण करवाएं और सकारात्मक गायों को बेहतर दूध उत्पादन देने के लिए साइलो फॉर्च्यून पशु चिकित्सक या स्थानीय पशु चिकित्सक से सलाह लें।,"ಅಗೋಚರ  or ಗುಪ್ತ ಕೆಚ್ಚಲುಬಾವು ವನ್ನು ಪತ್ತೆಹಚ್ಚಲು ತಿಂಗಳಿಗೊಮ್ಮೆ ಹಾಲಿನ CMT ಪರೀಕ್ಷೆ ಮಾಡಿ, POSITIVE  ಸ್ಕೋರ್  ಬಂದ ಹಸುಗಳನ್ನು ಗುಣಪಡಿಸಿ ಹೆಚ್ಚಿನ ಹಾಲಿನ ಇಳುವರಿ ಪಡೆಯಲು  ಸೈಲೋ ಫಾರ್ಚೂನ್ ಪಶುವೈದ್ಯರು ಅಥವಾ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರಿಂದ ಸಲಹೆ ಪಡೆಯಿರಿ."
Skin & Sensory Organs,Fleabite,Yes,Biting Flies or Ticks present on the Animals causes Skin Allergy. This may be Chornically irritates the Animals lead into Anaemia & Causes Vector Born diseases.,"जानवरों पर मौजूद मक्खियों या टिक्स के काटने से त्वचा की एलर्जी होती है। यह जानवरों में लंबे समय तक रहने वाली जलन का कारण बन सकता है, जिससे एनीमिया और वेक्टर जनित बीमारियाँ हो सकती हैं।",ಉಣ್ಣೆಗಳು ಅಥವಾ ಸಣ್ಣ ನೊಣಗಳು ಕಚ್ಚುವುದರಿಂದ ಪಶುಗಳಲ್ಲಿ ರಕ್ತ ಹೀನತೆ & ಚರ್ಮದ ಅಲರ್ಜಿಯನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ. ನೊಣ / ಉಣ್ಣೆಗಳು ಪಶುವಿನಿಂದ ಪಶುವಿಗೆ ರೋಗಗಳನ್ನು ಹರಡುತ್ತವೆ.,Apply Neem/Pongamia Oil on allergic Site. Regularly Wash the Shed & Animal with KMno4 Solution.              Control the Fly breeding spots in &Around the Shed.   ,एलर्जी वाली जगह पर नीम/पोंगामिया तेल लगाएं। शेड और पशु को नियमित रूप से KMno4 घोल से धोएं। शेड के अंदर और आसपास मक्खियों के प्रजनन स्थलों को नियंत्रित करें।,ಚರ್ಮದ ಅಲರ್ಜಿ ಆಗಿರುವ  ಜಾಗಕ್ಕೆ  ಹೊಂಗೆ /ಬೇವಿನ ಎಣ್ಣೆಯನ್ನು ಪ್ರತಿದಿನ ಹಚ್ಚಿ. KMno4 ದ್ರಾವಣದಿಂದ  ಶೆಡ್/ಕೊಟ್ಟಿಗೆ  ಮತ್ತು ಪಶುಗಳನ್ನು ನಿಯಮಿತವಾಗಿ ತೊಳೆಯಿರಿ. ಶೆಡ್‌ನ ಸುತ್ತಲೂ ಇರುವ  ನೊಣ /ಉಣ್ಣೆಗಳ ಸಂತಾನೋತ್ಪತ್ತಿ ತಾಣಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.
Skin & Sensory Organs,Fleabite,No,Flies or Tick may causes Economic losses to Farmers. Regularly observe & Control the breeding spots.,मक्खियों या टिक से किसानों को आर्थिक नुकसान हो सकता है। प्रजनन स्थलों का नियमित निरीक्षण और नियंत्रण करें।,ನೊಣಗಳು ಅಥವಾ ಉಣ್ಣೆಗಳು ರೋಗ ಹರಡುವ ಮುಖೇನ  ರೈತರಿಗೆ ಆರ್ಥಿಕ ನಷ್ಟವನ್ನು ಉಂಟುಮಾಡಬಹುದು. ಹಾಗಾಗಿ ನೊಣ /ಉಣ್ಣೆಗಳ ಸಂತಾನೋತ್ಪತ್ತಿ ತಾಣಗಳ ಮೇಲೆ ನಿಗಾವಹಿಸಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಬೇಕು.,Regularly Wash the Shed & Animal with KMno4 Solution.  Control the Fly breeding spots in & Around the Shed.   ,शेड और पशु को नियमित रूप से KMno4 घोल से धोएं। शेड में और उसके आस-पास मक्खियों के प्रजनन स्थलों को नियंत्रित करें।,ಪ್ರತಿದಿನ KMno4 ದ್ರಾವಣದಿಂದ  ಶೆಡ್/ಕೊಟ್ಟಿಗೆ  ಮತ್ತು ಪಶುಗಳನ್ನು ನಿಯಮಿತವಾಗಿ ತೊಳೆಯಿರಿ.  ಶೆಡ್‌ನ ಸುತ್ತಲೂ ಇರುವ  ನೊಣ /ಉಣ್ಣೆಗಳ ಸಂತಾನೋತ್ಪತ್ತಿ ತಾಣಗಳನ್ನು ನಿಯಂತ್ರಿಸಿ.
Metabolic Disorder,Milk Fever,Yes,"Animal is in Recumbent stage, Lot of Energy & Calcium drainout in the Milk. So, animal may suffering from Acute Calcium defeciency. Prognosis is always Guarded & Few Animals may Die without responding to Treatment. ","पशु लेटे हुए अवस्था में है, दूध में बहुत अधिक ऊर्जा और कैल्शियम की कमी है। इसलिए, पशु तीव्र कैल्शियम की कमी से पीड़ित हो सकता है। रोग का निदान हमेशा सतर्क रहता है और कुछ पशु उपचार के बिना मर सकते हैं।","ರಾಸುವಿನ ದೇಹದಿಂದ  ಸಾಕಷ್ಟು ಶಕ್ತಿ & ಕ್ಯಾಲ್ಸಿಯಂ ಹಾಲಿನ ಮುಖಾಂತರ ಹೋಗಿರುವುದರಿಂದ, ತೀವ್ರ ಕ್ಯಾಲ್ಸಿಯಂ ನ ಕೊರತೆಯಿಂದ ರಾಸುವು ನಿಶಕ್ತಿಯಿಂದ ಮಲಗಿರುವ ಸ್ಥಿತಿಯಲ್ಲಿರುತ್ತವೆ. ಕೆಲ ರಾಸುಗಳು ಚಿಕಿತ್ಸೆಯಿಂದ ಚೇತರಿಸಿಕೊಳ್ಳುತ್ತವೆ ಇನ್ನು ಕೆಲ ರಾಸುಗಳು ಗಂಭೀರ ಸ್ಥಿತಿಗೆ ತಲುಪಿ ಸಾವನ್ನಪ್ಪುವ ಸಂಭವವೂ ಇರುತ್ತದೆ.","Its an Emergency Situation, Consult Local Veterinary Doctors for immidiate medications.To avoid this type of Situations, During the Dry Period, 15 days before calving Provide DCAD Powder 50-100Grams daily(Oral feeding) or Pow. Balanion 50-100Grams Oraly                             ","यह एक आपातकालीन स्थिति है, तत्काल दवाओं के लिए स्थानीय पशु चिकित्सक से परामर्श करें। इस प्रकार की स्थितियों से बचने के लिए, शुष्क अवधि के दौरान, ब्याने से 15 दिन पहले पाउ.वी-ट्रांस इजी डेली (ओरल फीडिंग) या पाउ. बैलेनियन 50-100 ग्राम ओरली दें।","ಇದು ತುರ್ತು ಪರಿಸ್ಥಿತಿ, ತಕ್ಷಣದ ಚಿಕಿತ್ಸೆಗಾಗಿ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ. ಈ ರೀತಿಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ತಪ್ಪಿಸಲು, ಮುನ್ನೆಚ್ಚರಿಕೆಯ ಕ್ರಮವಾಗಿ Dry Period ನಲ್ಲಿ  ಕರು ಹಾಕುವ 15 ದಿನಗಳ ಮೊದಲು ಪ್ರತಿದಿನ 50-100ಗ್ರಾಂಗಳಷ್ಟು Pow . V -Trans Easy  ಅಥವಾ  Pow . Balanion 50-100 ಗ್ರಾಂ ನ್ನು ಕರು ಹಾಕುವ ದಿನದವರೆಗೂ ತಿನ್ನಿಸಬೇಕು."
Metabolic Disorder,Milk Fever,No,Metabolic Disorders Occure during the crucial situations like During Dry period or immidiately after calving or During Peak Lactation. This may lead into Serious Economic Losses to the farmer.,चयापचय संबंधी विकार शुष्क अवधि के दौरान या ब्याने के तुरंत बाद या अधिकतम स्तनपान के दौरान महत्वपूर्ण स्थितियों के दौरान होते हैं। इससे किसान को गंभीर आर्थिक नुकसान हो सकता है।,"ಮಿಲ್ಕ್ ಫೀವರ್, ಕೀಟೋಸಿಸ್, ನೆಗೆಟಿವ್ ಎನರ್ಜಿ ಇತ್ಯಾದಿ.. ನಂತಹ ಸಮಸ್ಯೆಗಳು Dry Period / ಕರು ಹಾಕಿದ ತಕ್ಷಣ/ ಅಧಿಕ ಹಾಲು ಕರೆಯುವ ಸಂದರ್ಭಗಳಲ್ಲಿ ಹೆಚ್ಚಿನ ಹಸುಗಳಲ್ಲಿ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ & ರೈತರಿಗೆ ಗಂಭೀರ ಪ್ರಮಾಣದ ಆರ್ಥಿಕ ನಷ್ಟವನ್ನುಂಟುಮಾಡುತ್ತದೆ . ","To avoid this type of Situations, During the Dry Period, 15 days before calving Provide DCAD Powder 50-100Grams daily(Oral feeding) or Pow. Balanion 50-100Grams Oraly. From the Day of Calving Start feeding Mineral Mixture to the Cows as per recomendations.                                                                                ","इस प्रकार की स्थिति से बचने के लिए, शुष्क अवधि के दौरान, ब्याने से 15 दिन पहले प्रतिदिन 50-100 ग्राम पाउ.वी-ट्रांस इजी (मौखिक आहार) या 50-100 ग्राम पाउ.बैलेनियन (मौखिक आहार) दें। ब्याने के दिन से ही गायों को सिफारिशों के अनुसार डेयरी फॉर्च्यून/मिनरल मिश्रण खिलाना शुरू करें।","ಈ ರೀತಿಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ತಪ್ಪಿಸಲು, ಮುನ್ನೆಚ್ಚರಿಕೆಯ ಕ್ರಮವಾಗಿ Dry Period ನಲ್ಲಿ  ಕರು ಹಾಕುವ 15 ದಿನಗಳ ಮೊದಲು ಪ್ರತಿದಿನ 50-100ಗ್ರಾಂಗಳಷ್ಟು Pow . V -Trans Easy  ಅಥವಾ  Pow . Balanion 50-100 ಗ್ರಾಂ ನ್ನು ಕರು ಹಾಕುವ ದಿನದವರೆಗೂ ತಿನ್ನಿಸಬೇಕು. ಕರುಹಾಕಿದ ದಿನದಿಂದ ಡೈರಿ ಫಾರ್ಚ್ಯೂನ್ / ಮಿನರಲ್ ಮಿಕ್ಸರ್ ನ್ನು ಶಿಫಾರಸ್ಸಿನ ಪ್ರಮಾಣದಲ್ಲಿ  ಪ್ರತಿದಿನ ತಪ್ಪದೆ ಪೂರೈಸಬೇಕು."
Viral Diseases,FMD,Yes,"As per the Visible symptoms this Animal may be Suffereing from FMD disease. But for the Confirmation Physical & Lab Examination required. So, take advice from Local Veterinary Doctor & Roll out the Differential Diagnosis like Heat Stress/Rabies/Footrot etc..Major Symptoms of FMD Diseases are High Fever, Frothy Salivation, Ulceration of Tounge,Lips, Nostrils & Muscle. Blister on Interdigital Space/Coronary band. Prognosis is Guarded. ","दिखाई देने वाले लक्षणों के अनुसार यह पशु एफएमडी रोग से पीड़ित हो सकता है। लेकिन पुष्टि के लिए शारीरिक और प्रयोगशाला परीक्षण की आवश्यकता है। इसलिए, स्थानीय पशु चिकित्सक से सलाह लें और हीट स्ट्रेस/रेबीज/फुटरोट आदि जैसे विभेदक निदान करें। एफएमडी रोगों के प्रमुख लक्षण हैं तेज बुखार, झागदार लार, जीभ, होंठ, नाक और मांसपेशियों में छाले। इंटरडिजिटल स्पेस/कोरोनरी बैंड पर छाला। रोग का निदान सुरक्षित है।","ಪಶುವಿನಲ್ಲಿ ಕಾಣಿಸುತ್ತಿರುವ ಲಕ್ಷಣಗಳ ಪ್ರಕಾರ ಈ ಪಶುವು ಕಾಲು ಬಾಯಿ ಜ್ವರದ ಕಾಯಿಲೆಯಿಂದ ಬಳಲುತ್ತಿರಬಹುದು. ಆದರೆ ದೃಢೀಕರಣಕ್ಕಾಗಿ ದೈಹಿಕ ಮತ್ತು ಲ್ಯಾಬ್ ನ ಪರೀಕ್ಷೆ ಅಗತ್ಯವಿದೆ. ಆದ್ದರಿಂದ, ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರಿಂದ ಸಲಹೆ ಪಡೆಯಿರಿ. ಕಾಲು ಬಾಯಿ ರೋಗದ ಪ್ರಮುಖ ಲಕ್ಷಣಗಳು ತೀವ್ರ ಜ್ವರ, ನೊರೆಯುಕ್ತ ಜೊಲ್ಲು ಸುರಿಸುವುದು, ನಾಲಿಗೆ, ಮೂಗಿನ ಹೊಳ್ಳೆಗಳಲ್ಲಿ ಹುಣ್ಣಾಗುವುದು & ಗೊರಸುಗಳಲ್ಲಿ ಗಾಯಗಳಾಗುವುದು.","Its an Emergency Situation, Consult Local Veterinary Doctors for immidiate medications. As a prevention, For Healthy Cows provide FMD vaccination Every 6 months once without miss.","यह एक आपातकालीन स्थिति है, तत्काल दवाओं के लिए स्थानीय पशु चिकित्सकों से परामर्श करें। रोकथाम के लिए, स्वस्थ गायों के लिए हर 6 महीने में एक बार एफएमडी टीकाकरण प्रदान करें और बीमारी के प्रकोप के दौरान सोल.इम्यूनोकेयर 500ml (50ml-0-50ml) जैसे प्रतिरक्षा बूस्टर प्रदान करें।","ಇದು ತುರ್ತು ಪರಿಸ್ಥಿತಿ, ತಕ್ಷಣದ ಚಿಕಿತ್ಸೆಗಾಗಿ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.ಈ ರೋಗ ಬಾರದಂತೆ ತಡೆಗಟ್ಟಲು, ಆರೋಗ್ಯವಂತ ಪಶುಗಳಿಗೆ ಪ್ರತಿ 6 ತಿಂಗಳಿಗೊಮ್ಮೆ ತಪ್ಪದೇ ಕಾಲು ಬಾಯಿ ಲಸಿಕೆಯನ್ನು ಹಾಕಿಸಿ. ರೋಗ ಉಲ್ಭಣಗೊಂಡ ಸಂದರ್ಭಗಳಲ್ಲಿ ಹಸುಗಳ ಇಮ್ಮ್ಯೂನಿಟಿ ಹೆಚ್ಚಿಸಲು Sol . Immunocare 500ml (50ml - 0 -50ml ) ನೀಡಿದರೆ ಒಳಿತು."
Viral Diseases,LSD,Yes,"As per the Visible symptoms this Animal may be Suffereing from LSD disease. But for the Confirmation Physical & Lab Examination required. So, take advice from Local Veterinary Doctor & Roll out the Differential Diagnosis like Sting/Flea Bite allergy/Dermatophilosis/Demodecosis etc.. The Major LSD Symptoms are High Fever, Enlarged Lymphnodes, Lumps/Nodules formation on the Animal body, Swelling of Limbs & Brisket area, In advance stages Nodules may rupture to become wound.","दिखाई देने वाले लक्षणों के अनुसार यह पशु एलएसडी रोग से पीड़ित हो सकता है। लेकिन पुष्टि के लिए शारीरिक और प्रयोगशाला परीक्षण की आवश्यकता होती है। इसलिए, स्थानीय पशु चिकित्सक से सलाह लें और डंक/पिस्सू के काटने से एलर्जी/डर्मेटोफिलोसिस/डेमोडेकोसिस आदि जैसे विभेदक निदान करें। एलएसडी के प्रमुख लक्षण हैं तेज बुखार, बढ़े हुए लिम्फ नोड्स, पशु के शरीर पर गांठ/गांठ का बनना, अंगों और छाती के क्षेत्र में सूजन, उन्नत चरणों में गांठें फटकर घाव बन सकती हैं।","ಪಶುವಿನಲ್ಲಿ ಕಾಣಿಸುತ್ತಿರುವ ಲಕ್ಷಣಗಳ ಪ್ರಕಾರ ಈ ಪಶುವು ಚರ್ಮ ಗಂಟು ಕಾಯಿಲೆಯಿಂದ ಬಳಲುತ್ತಿರಬಹುದು. ಆದರೆ ದೃಢೀಕರಣಕ್ಕಾಗಿ ದೈಹಿಕ ಮತ್ತು ಲ್ಯಾಬ್ ನ ಪರೀಕ್ಷೆ ಅಗತ್ಯವಿದೆ. ಆದ್ದರಿಂದ, ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರಿಂದ ಸಲಹೆ ಪಡೆಯಿರಿ. ಚರ್ಮ ಗಂಟು ರೋಗದ ಪ್ರಮುಖ ಲಕ್ಷಣಗಳು ತೀವ್ರ ಜ್ವರ, ದೇಹದ ಮೇಲೆ ಸಣ್ಣ ಸಣ್ಣ ಗಂಟುಗಳಿರುತ್ತವೆ, ಕೈಕಾಲುಗಳ ಊತ & ಗಂಭೀರ ಸ್ಥಿತಿಯಲ್ಲಿ ಗಂಟುಗಳು ಒಡೆದು ಗಾಯಗಳಾಗಿರುತ್ತವೆ.","Its an Emergency Situation, Consult Local Veterinary Doctors for immidiate medications. As a prevention, For Healthy Cows provide LSD vaccination annualy once to avoid Economic Loses. ","यह एक आपातकालीन स्थिति है, तत्काल दवाओं के लिए स्थानीय पशु चिकित्सकों से परामर्श करें। रोकथाम के तौर पर, स्वस्थ गायों के लिए आर्थिक नुकसान से बचने के लिए सालाना एक बार एलएसडी टीकाकरण प्रदान करें। बीमारी के प्रकोप के दौरान सोल.इम्यूनोकेयर 500ml (50ml-0-50ml) जैसे प्रतिरक्षा बूस्टर प्रदान करें","ಇದು ತುರ್ತು ಪರಿಸ್ಥಿತಿ, ತಕ್ಷಣದ ಚಿಕಿತ್ಸೆಗಾಗಿ ಸ್ಥಳೀಯ ಪಶುವೈದ್ಯರನ್ನು ಸಂಪರ್ಕಿಸಿ.ಈ ರೋಗ ಬಾರದಂತೆ ತಡೆಗಟ್ಟಲು, ಆರೋಗ್ಯವಂತ ಪಶುಗಳಿಗೆ ಪ್ರತಿ ವರ್ಷಕ್ಕೊಮ್ಮೆ ಚರ್ಮ ಗಂಟು ಖಾಯಿಲೆಯ ಲಸಿಕೆಯನ್ನು ಹಾಕಿಸಿ. ರೋಗ ಉಲ್ಭಣಗೊಂಡ ಸಂದರ್ಭಗಳಲ್ಲಿ ಹಸುಗಳ ಇಮ್ಮ್ಯೂನಿಟಿ ಹೆಚ್ಚಿಸಲು Sol . Immunocare 500ml (50ml - 0 -50ml ) ನೀಡಿದರೆ ಒಳಿತು."
